Title,Intro,Delivery Type,Company,Price Number,Price Unit
中神通大地EDR&DNS&URL&VPN云控管系统（大地云控）,中神通大地EDR&DNS&URL&VPN云控管系统（简称大地云控/TrustGate）是一套专业的终端网络安全防护及互联互通网络应用增值软件，可将硬件、虚拟化平台打造为IPv4/IPv6双栈分布式云路由器/云原生安全接入网关（DNS/WEB/VPC/NAT/VPN/WAF/EDR/负载均衡/CASG/SASE/SD-WAN），为线上线下OS应用软件/SaaS/PaaS提供全面防护、互联互通的数字化安全网络底座。,交付方式：镜像,武汉中神通信息技术有限公司,99,元/月
安数云日志审计系统,安数云日志审计系统是安数云公司自主研发的拥有自主知识产权的专业日志安全审计产品，系统通过集中采集网络环境中的安全事件、用户行为日志、系统运行日志、系统状态日志、操作系统日志、信息系统操作日志等各类日志信息，经过统一的过滤、筛选、格式化、归一化等处理流程，最终以统一的日志形式进行集中存储和管理，同时结合相关的统计分析、关联分析等模块，对日志数据进行深度挖掘分析，以达到全面审计的目的。,交付方式：镜像,北京安数云信息技术有限公司,0,元/月
phpstudy集成环境 windows | PHP | mysql,windows server 2016 安装phpstudy集成环境，支持可视化安装、搭建、配置服务器环境，包含web环境搭建所需的各种软件，一键安装，且全部免费。,交付方式：镜像,重庆方贸科技有限公司,0,元/月
EMQX Enterprise,云原生分布式物联网接入平台，具有一体化的分布式 MQTT 消息服务和强大的 IoT 规则引擎，支持多种物联网标准协议及行业私有协议。,交付方式：镜像,杭州映云科技有限公司,4350,元/月
phpstudy集成环境 Linux | PHP | mysql,centos 7.6 安装phpstudy 程序，可快速搭建LAMP | LNMP 环境，助力企业上云，自定义环境配置。包含安装WEB环境所必须的“LAMP”或者“LNMP”软件，另外包括WEB的配置、安全的配置、监控报表、文件管理、操作日志等！,交付方式：镜像,重庆方贸科技有限公司,0,元/月
Zabbix系统监控,Zabbix 是一个企业级分布式开源监控解决方案。Zabbix 软件能够监控众多网络参数和服务器的健康度、完整性。使用灵活的告警机制，允许用户为几乎任何事件配置基于邮件的告警。快速响应服务器问题处理。,交付方式：人工服务,北京潍鲸科技有限公司,0,元/次
观镜动态WEB应用安全防护系统,观镜WEB应用安全防护系统是基于动态混淆，结合大数据机器学习，语义分析技术的新型WEB安全防御系统。产品创新性地采用多引擎驱动，包括动态混淆验证引擎、语义分析引擎，采用动态混淆的方式对用户请求进行混淆验证，在不影响企业原有业务以及用户体验的情况下，进行无感保护，将攻击阻挡在应用之前。可以有效防御所有自动化攻击，并且实现了不依靠规则更新防御未知漏洞，能够及时有效地对WEB应用业务以及数据进行保护。,交付方式：镜像,上海观安信息技术股份有限公司,0,元/月
深圳 WMS仓储管理系统 财务报表一体化管理系统,云坞WMS通过解决仓储管理中存在的痛点问题，对业务流程和作业场景中各环节的控制与管理，提升仓储管理水平和作业效率。满足3PL、电商、零售、制造、快消、冷链、汽车、医药8大行业需求。,交付方式：人工服务,深圳市云坞网络技术有限公司,199,元/次
Array SSL VPN （试用镜像）,北京华耀科技有限公司的vxAG产品，提供随时随地基于浏览器的安全远程接入，帮助员工、合作伙伴、租户、客户、承包商和访客提高生产效率。,交付方式：镜像,华耀（中国）科技有限公司,0,元/月
观智安全运维管理系统,观安安全运维管理系统是采用 4A理念架构设计。即“身份认证（Authentication）、账户管理（Account）、授权管理（Authorization）、日志审计（Audit）”于一体，支持多种字符终端协议、文件传输协议、图形终端协议、远程应用协议的安全监控与历史查询，结合各类法律法规（如等级保护、赛班斯法案 SOX、PCI、企业内控管理、分级保护、ISO/IEC 27001 等）对运维审计的要求。具备全方位运维风险控制能力的统一安全管理与审计产品。,交付方式：镜像,上海观安信息技术股份有限公司,0,元/月
企业官网开发建设维护 | 官网定制,网站解决方案，一站式服务，基于云计算提供建站SaaS服务，覆盖PC/移动/H5/微信，多端合一，统一化管理，适用企业、集团搭建个性化官网。 【交付源代码】【终生享版权】企业官网建设，响应式网站，营销型网站，商城网站，高端定制设计，从了解到合作，从合作到满意验收，我们始终一对一服务，我们承诺所有页面设计到满意为止！,交付方式：人工服务,深圳市云坞网络技术有限公司,1,元/次
ChatGPT中文应用_ChatGPT开发_GPT搭建_GPT模型部署,云坞网络专注于利用先进的云计算、大数据和人工智能技术，为企业提供卓越的ChatGPT行业解决方案。无论是ChatGPT的开发、搭建，还是GPT私有化或本地化部署，我们都能为客户提供满意的解决方案，帮助企业快速实现数字化、智能化和绿色化转型。,交付方式：人工服务,深圳市云坞网络技术有限公司,1,元/次
深圳_it人力外包_软件服务外包_数据对接_大数据解决方案,【源码交付】【终享版权】【二次开发】企业官网网站建设，品牌官网，响应式网站，营销型网站，商城网站，高端定制，专业设计，全程一对一服务！！系统定制开发，软件开发，软件外包，云设备选型，技术选型，APP开发，企业建站，深圳地区可上门服务。,交付方式：人工服务,深圳市云坞网络技术有限公司,1,元/次
金山云定制开发,金山云定制开发,交付方式：镜像,北京金山云网络技术有限公司,0,元/月
ChatGLM-6B,该镜像内置ChatGLM-6B-INT4量化版本及其运行依赖环境，支持一站式部署ChatGLM-6B并支持可视化演示,交付方式：镜像,北京金山云网络技术有限公司,0,元/月
石犀数据流动治理平台,基于对“数据只有流动才能产生更多价值”的深刻理解，石犀科技推出“SR-DFGP石犀-数据流动治理平台”，以“石犀引擎、石犀商城、石犀总控”为核心，提供创新的解决方案！,交付方式：License,深圳市众云网有限公司,1000000,元/年
安数云综合安全检查评估系统,安数云综合安全检查评估系统，是一套完整的、全方位的漏洞管理与等级保护检查评估系统。 该系统包括资产管理、系统漏扫、网站漏扫、数据库漏扫、基线配置核查、木马病毒扫描、弱口令扫描、网站恶意代码扫描、实时在线的网站监控预警 （含可用性、安全漏洞、篡改、敏感内容、网马、暗链、钓鱼等）、等级保护检查评估等功能，一揽子解决了用户信息化环境下， 所有应用设备及信息系统的漏洞管理、监测预警、定级评估等问题，实现了等保合规化与扫描结果的综合分析与可视化展示。,交付方式：镜像,北京安数云信息技术有限公司,0,元/月
中神通大地EDR&DNS&URL&VPN云控管系统（大地云控）,中神通大地EDR&DNS&URL&VPN云控管系统（简称大地云控/TrustGate）是一套专业的终端网络安全防护及互联互通网络应用增值软件，可将硬件、虚拟化平台打造为IPv4/IPv6双栈分布式云路由器/云原生安全接入网关（DNS/WEB/VPC/NAT/VPN/WAF/EDR/负载均衡/CASG/SASE/SD-WAN），为线上线下OS应用软件/SaaS/PaaS提供全面防护、互联互通的数字化安全网络底座。,交付方式：镜像,武汉中神通信息技术有限公司,99,元/月
安数云日志审计系统,安数云日志审计系统是安数云公司自主研发的拥有自主知识产权的专业日志安全审计产品，系统通过集中采集网络环境中的安全事件、用户行为日志、系统运行日志、系统状态日志、操作系统日志、信息系统操作日志等各类日志信息，经过统一的过滤、筛选、格式化、归一化等处理流程，最终以统一的日志形式进行集中存储和管理，同时结合相关的统计分析、关联分析等模块，对日志数据进行深度挖掘分析，以达到全面审计的目的。,交付方式：镜像,北京安数云信息技术有限公司,0,元/月
phpstudy集成环境 windows | PHP | mysql,windows server 2016 安装phpstudy集成环境，支持可视化安装、搭建、配置服务器环境，包含web环境搭建所需的各种软件，一键安装，且全部免费。,交付方式：镜像,重庆方贸科技有限公司,0,元/月
官网小程序,【满5年送400活动号码1年】多端小程序官网，一站式支持微信小程序，抖音头条小程序，百度小程序，支付宝小程序的各大主流小程序企业官网形象展示；自助小程序建站，最快只需要3分钟！,交付方式：SaaS,站擎（深圳）计算机技术有限公司,500,元/年
EMQX Enterprise,云原生分布式物联网接入平台，具有一体化的分布式 MQTT 消息服务和强大的 IoT 规则引擎，支持多种物联网标准协议及行业私有协议。,交付方式：镜像,杭州映云科技有限公司,4350,元/月
观镜动态WEB应用安全防护系统,观镜WEB应用安全防护系统是基于动态混淆，结合大数据机器学习，语义分析技术的新型WEB安全防御系统。产品创新性地采用多引擎驱动，包括动态混淆验证引擎、语义分析引擎，采用动态混淆的方式对用户请求进行混淆验证，在不影响企业原有业务以及用户体验的情况下，进行无感保护，将攻击阻挡在应用之前。可以有效防御所有自动化攻击，并且实现了不依靠规则更新防御未知漏洞，能够及时有效地对WEB应用业务以及数据进行保护。,交付方式：镜像,上海观安信息技术股份有限公司,0,元/月
Array SSL VPN （试用镜像）,北京华耀科技有限公司的vxAG产品，提供随时随地基于浏览器的安全远程接入，帮助员工、合作伙伴、租户、客户、承包商和访客提高生产效率。,交付方式：镜像,华耀（中国）科技有限公司,0,元/月
深圳 WMS仓储管理系统 财务报表一体化管理系统,云坞WMS通过解决仓储管理中存在的痛点问题，对业务流程和作业场景中各环节的控制与管理，提升仓储管理水平和作业效率。满足3PL、电商、零售、制造、快消、冷链、汽车、医药8大行业需求。,交付方式：人工服务,深圳市云坞网络技术有限公司,199,元/次
phpstudy集成环境 Linux | PHP | mysql,centos 7.6 安装phpstudy 程序，可快速搭建LAMP | LNMP 环境，助力企业上云，自定义环境配置。包含安装WEB环境所必须的“LAMP”或者“LNMP”软件，另外包括WEB的配置、安全的配置、监控报表、文件管理、操作日志等！,交付方式：镜像,重庆方贸科技有限公司,0,元/月
企业官网开发建设维护 | 官网定制,网站解决方案，一站式服务，基于云计算提供建站SaaS服务，覆盖PC/移动/H5/微信，多端合一，统一化管理，适用企业、集团搭建个性化官网。 【交付源代码】【终生享版权】企业官网建设，响应式网站，营销型网站，商城网站，高端定制设计，从了解到合作，从合作到满意验收，我们始终一对一服务，我们承诺所有页面设计到满意为止！,交付方式：人工服务,深圳市云坞网络技术有限公司,1,元/次
ChatGPT中文应用_ChatGPT开发_GPT搭建_GPT模型部署,云坞网络专注于利用先进的云计算、大数据和人工智能技术，为企业提供卓越的ChatGPT行业解决方案。无论是ChatGPT的开发、搭建，还是GPT私有化或本地化部署，我们都能为客户提供满意的解决方案，帮助企业快速实现数字化、智能化和绿色化转型。,交付方式：人工服务,深圳市云坞网络技术有限公司,1,元/次
深圳_it人力外包_软件服务外包_数据对接_大数据解决方案,【源码交付】【终享版权】【二次开发】企业官网网站建设，品牌官网，响应式网站，营销型网站，商城网站，高端定制，专业设计，全程一对一服务！！系统定制开发，软件开发，软件外包，云设备选型，技术选型，APP开发，企业建站，深圳地区可上门服务。,交付方式：人工服务,深圳市云坞网络技术有限公司,1,元/次
观智安全运维管理系统,观安安全运维管理系统是采用 4A理念架构设计。即“身份认证（Authentication）、账户管理（Account）、授权管理（Authorization）、日志审计（Audit）”于一体，支持多种字符终端协议、文件传输协议、图形终端协议、远程应用协议的安全监控与历史查询，结合各类法律法规（如等级保护、赛班斯法案 SOX、PCI、企业内控管理、分级保护、ISO/IEC 27001 等）对运维审计的要求。具备全方位运维风险控制能力的统一安全管理与审计产品。,交付方式：镜像,上海观安信息技术股份有限公司,0,元/月
金山云定制开发,金山云定制开发,交付方式：镜像,北京金山云网络技术有限公司,0,元/月
ChatGLM-6B,该镜像内置ChatGLM-6B-INT4量化版本及其运行依赖环境，支持一站式部署ChatGLM-6B并支持可视化演示,交付方式：镜像,北京金山云网络技术有限公司,0,元/月
石犀数据流动治理平台,基于对“数据只有流动才能产生更多价值”的深刻理解，石犀科技推出“SR-DFGP石犀-数据流动治理平台”，以“石犀引擎、石犀商城、石犀总控”为核心，提供创新的解决方案！,交付方式：License,深圳市众云网有限公司,1000000,元/年
安数云综合安全检查评估系统,安数云综合安全检查评估系统，是一套完整的、全方位的漏洞管理与等级保护检查评估系统。 该系统包括资产管理、系统漏扫、网站漏扫、数据库漏扫、基线配置核查、木马病毒扫描、弱口令扫描、网站恶意代码扫描、实时在线的网站监控预警 （含可用性、安全漏洞、篡改、敏感内容、网马、暗链、钓鱼等）、等级保护检查评估等功能，一揽子解决了用户信息化环境下， 所有应用设备及信息系统的漏洞管理、监测预警、定级评估等问题，实现了等保合规化与扫描结果的综合分析与可视化展示。,交付方式：镜像,北京安数云信息技术有限公司,0,元/月
中神通大地EDR&DNS&URL&VPN云控管系统（大地云控）,中神通大地EDR&DNS&URL&VPN云控管系统（简称大地云控/TrustGate）是一套专业的终端网络安全防护及互联互通网络应用增值软件，可将硬件、虚拟化平台打造为IPv4/IPv6双栈分布式云路由器/云原生安全接入网关（DNS/WEB/VPC/NAT/VPN/WAF/EDR/负载均衡/CASG/SASE/SD-WAN），为线上线下OS应用软件/SaaS/PaaS提供全面防护、互联互通的数字化安全网络底座。,交付方式：镜像,武汉中神通信息技术有限公司,99,元/月
安数云日志审计系统,安数云日志审计系统是安数云公司自主研发的拥有自主知识产权的专业日志安全审计产品，系统通过集中采集网络环境中的安全事件、用户行为日志、系统运行日志、系统状态日志、操作系统日志、信息系统操作日志等各类日志信息，经过统一的过滤、筛选、格式化、归一化等处理流程，最终以统一的日志形式进行集中存储和管理，同时结合相关的统计分析、关联分析等模块，对日志数据进行深度挖掘分析，以达到全面审计的目的。,交付方式：镜像,北京安数云信息技术有限公司,0,元/月
phpstudy集成环境 windows | PHP | mysql,windows server 2016 安装phpstudy集成环境，支持可视化安装、搭建、配置服务器环境，包含web环境搭建所需的各种软件，一键安装，且全部免费。,交付方式：镜像,重庆方贸科技有限公司,0,元/月
EMQX Enterprise,云原生分布式物联网接入平台，具有一体化的分布式 MQTT 消息服务和强大的 IoT 规则引擎，支持多种物联网标准协议及行业私有协议。,交付方式：镜像,杭州映云科技有限公司,4350,元/月
phpstudy集成环境 Linux | PHP | mysql,centos 7.6 安装phpstudy 程序，可快速搭建LAMP | LNMP 环境，助力企业上云，自定义环境配置。包含安装WEB环境所必须的“LAMP”或者“LNMP”软件，另外包括WEB的配置、安全的配置、监控报表、文件管理、操作日志等！,交付方式：镜像,重庆方贸科技有限公司,0,元/月
Zabbix系统监控,Zabbix 是一个企业级分布式开源监控解决方案。Zabbix 软件能够监控众多网络参数和服务器的健康度、完整性。使用灵活的告警机制，允许用户为几乎任何事件配置基于邮件的告警。快速响应服务器问题处理。,交付方式：人工服务,北京潍鲸科技有限公司,0,元/次
观镜动态WEB应用安全防护系统,观镜WEB应用安全防护系统是基于动态混淆，结合大数据机器学习，语义分析技术的新型WEB安全防御系统。产品创新性地采用多引擎驱动，包括动态混淆验证引擎、语义分析引擎，采用动态混淆的方式对用户请求进行混淆验证，在不影响企业原有业务以及用户体验的情况下，进行无感保护，将攻击阻挡在应用之前。可以有效防御所有自动化攻击，并且实现了不依靠规则更新防御未知漏洞，能够及时有效地对WEB应用业务以及数据进行保护。,交付方式：镜像,上海观安信息技术股份有限公司,0,元/月
Array SSL VPN （试用镜像）,北京华耀科技有限公司的vxAG产品，提供随时随地基于浏览器的安全远程接入，帮助员工、合作伙伴、租户、客户、承包商和访客提高生产效率。,交付方式：镜像,华耀（中国）科技有限公司,0,元/月
深圳 WMS仓储管理系统 财务报表一体化管理系统,云坞WMS通过解决仓储管理中存在的痛点问题，对业务流程和作业场景中各环节的控制与管理，提升仓储管理水平和作业效率。满足3PL、电商、零售、制造、快消、冷链、汽车、医药8大行业需求。,交付方式：人工服务,深圳市云坞网络技术有限公司,199,元/次
观智安全运维管理系统,观安安全运维管理系统是采用 4A理念架构设计。即“身份认证（Authentication）、账户管理（Account）、授权管理（Authorization）、日志审计（Audit）”于一体，支持多种字符终端协议、文件传输协议、图形终端协议、远程应用协议的安全监控与历史查询，结合各类法律法规（如等级保护、赛班斯法案 SOX、PCI、企业内控管理、分级保护、ISO/IEC 27001 等）对运维审计的要求。具备全方位运维风险控制能力的统一安全管理与审计产品。,交付方式：镜像,上海观安信息技术股份有限公司,0,元/月
企业官网开发建设维护 | 官网定制,网站解决方案，一站式服务，基于云计算提供建站SaaS服务，覆盖PC/移动/H5/微信，多端合一，统一化管理，适用企业、集团搭建个性化官网。 【交付源代码】【终生享版权】企业官网建设，响应式网站，营销型网站，商城网站，高端定制设计，从了解到合作，从合作到满意验收，我们始终一对一服务，我们承诺所有页面设计到满意为止！,交付方式：人工服务,深圳市云坞网络技术有限公司,1,元/次
ChatGPT中文应用_ChatGPT开发_GPT搭建_GPT模型部署,云坞网络专注于利用先进的云计算、大数据和人工智能技术，为企业提供卓越的ChatGPT行业解决方案。无论是ChatGPT的开发、搭建，还是GPT私有化或本地化部署，我们都能为客户提供满意的解决方案，帮助企业快速实现数字化、智能化和绿色化转型。,交付方式：人工服务,深圳市云坞网络技术有限公司,1,元/次
深圳_it人力外包_软件服务外包_数据对接_大数据解决方案,【源码交付】【终享版权】【二次开发】企业官网网站建设，品牌官网，响应式网站，营销型网站，商城网站，高端定制，专业设计，全程一对一服务！！系统定制开发，软件开发，软件外包，云设备选型，技术选型，APP开发，企业建站，深圳地区可上门服务。,交付方式：人工服务,深圳市云坞网络技术有限公司,1,元/次
金山云定制开发,金山云定制开发,交付方式：镜像,北京金山云网络技术有限公司,0,元/月
ChatGLM-6B,该镜像内置ChatGLM-6B-INT4量化版本及其运行依赖环境，支持一站式部署ChatGLM-6B并支持可视化演示,交付方式：镜像,北京金山云网络技术有限公司,0,元/月
石犀数据流动治理平台,基于对“数据只有流动才能产生更多价值”的深刻理解，石犀科技推出“SR-DFGP石犀-数据流动治理平台”，以“石犀引擎、石犀商城、石犀总控”为核心，提供创新的解决方案！,交付方式：License,深圳市众云网有限公司,1000000,元/年
安数云综合安全检查评估系统,安数云综合安全检查评估系统，是一套完整的、全方位的漏洞管理与等级保护检查评估系统。 该系统包括资产管理、系统漏扫、网站漏扫、数据库漏扫、基线配置核查、木马病毒扫描、弱口令扫描、网站恶意代码扫描、实时在线的网站监控预警 （含可用性、安全漏洞、篡改、敏感内容、网马、暗链、钓鱼等）、等级保护检查评估等功能，一揽子解决了用户信息化环境下， 所有应用设备及信息系统的漏洞管理、监测预警、定级评估等问题，实现了等保合规化与扫描结果的综合分析与可视化展示。,交付方式：镜像,北京安数云信息技术有限公司,0,元/月
中神通大地EDR&DNS&URL&VPN云控管系统（大地云控）,中神通大地EDR&DNS&URL&VPN云控管系统（简称大地云控/TrustGate）是一套专业的终端网络安全防护及互联互通网络应用增值软件，可将硬件、虚拟化平台打造为IPv4/IPv6双栈分布式云路由器/云原生安全接入网关（DNS/WEB/VPC/NAT/VPN/WAF/EDR/负载均衡/CASG/SASE/SD-WAN），为线上线下OS应用软件/SaaS/PaaS提供全面防护、互联互通的数字化安全网络底座。,交付方式：镜像,武汉中神通信息技术有限公司,99,元/月
安数云日志审计系统,安数云日志审计系统是安数云公司自主研发的拥有自主知识产权的专业日志安全审计产品，系统通过集中采集网络环境中的安全事件、用户行为日志、系统运行日志、系统状态日志、操作系统日志、信息系统操作日志等各类日志信息，经过统一的过滤、筛选、格式化、归一化等处理流程，最终以统一的日志形式进行集中存储和管理，同时结合相关的统计分析、关联分析等模块，对日志数据进行深度挖掘分析，以达到全面审计的目的。,交付方式：镜像,北京安数云信息技术有限公司,0,元/月
phpstudy集成环境 windows | PHP | mysql,windows server 2016 安装phpstudy集成环境，支持可视化安装、搭建、配置服务器环境，包含web环境搭建所需的各种软件，一键安装，且全部免费。,交付方式：镜像,重庆方贸科技有限公司,0,元/月
官网小程序,【满5年送400活动号码1年】多端小程序官网，一站式支持微信小程序，抖音头条小程序，百度小程序，支付宝小程序的各大主流小程序企业官网形象展示；自助小程序建站，最快只需要3分钟！,交付方式：SaaS,站擎（深圳）计算机技术有限公司,500,元/年
EMQX Enterprise,云原生分布式物联网接入平台，具有一体化的分布式 MQTT 消息服务和强大的 IoT 规则引擎，支持多种物联网标准协议及行业私有协议。,交付方式：镜像,杭州映云科技有限公司,4350,元/月
观镜动态WEB应用安全防护系统,观镜WEB应用安全防护系统是基于动态混淆，结合大数据机器学习，语义分析技术的新型WEB安全防御系统。产品创新性地采用多引擎驱动，包括动态混淆验证引擎、语义分析引擎，采用动态混淆的方式对用户请求进行混淆验证，在不影响企业原有业务以及用户体验的情况下，进行无感保护，将攻击阻挡在应用之前。可以有效防御所有自动化攻击，并且实现了不依靠规则更新防御未知漏洞，能够及时有效地对WEB应用业务以及数据进行保护。,交付方式：镜像,上海观安信息技术股份有限公司,0,元/月
Array SSL VPN （试用镜像）,北京华耀科技有限公司的vxAG产品，提供随时随地基于浏览器的安全远程接入，帮助员工、合作伙伴、租户、客户、承包商和访客提高生产效率。,交付方式：镜像,华耀（中国）科技有限公司,0,元/月
深圳 WMS仓储管理系统 财务报表一体化管理系统,云坞WMS通过解决仓储管理中存在的痛点问题，对业务流程和作业场景中各环节的控制与管理，提升仓储管理水平和作业效率。满足3PL、电商、零售、制造、快消、冷链、汽车、医药8大行业需求。,交付方式：人工服务,深圳市云坞网络技术有限公司,199,元/次
phpstudy集成环境 Linux | PHP | mysql,centos 7.6 安装phpstudy 程序，可快速搭建LAMP | LNMP 环境，助力企业上云，自定义环境配置。包含安装WEB环境所必须的“LAMP”或者“LNMP”软件，另外包括WEB的配置、安全的配置、监控报表、文件管理、操作日志等！,交付方式：镜像,重庆方贸科技有限公司,0,元/月
企业官网开发建设维护 | 官网定制,网站解决方案，一站式服务，基于云计算提供建站SaaS服务，覆盖PC/移动/H5/微信，多端合一，统一化管理，适用企业、集团搭建个性化官网。 【交付源代码】【终生享版权】企业官网建设，响应式网站，营销型网站，商城网站，高端定制设计，从了解到合作，从合作到满意验收，我们始终一对一服务，我们承诺所有页面设计到满意为止！,交付方式：人工服务,深圳市云坞网络技术有限公司,1,元/次
ChatGPT中文应用_ChatGPT开发_GPT搭建_GPT模型部署,云坞网络专注于利用先进的云计算、大数据和人工智能技术，为企业提供卓越的ChatGPT行业解决方案。无论是ChatGPT的开发、搭建，还是GPT私有化或本地化部署，我们都能为客户提供满意的解决方案，帮助企业快速实现数字化、智能化和绿色化转型。,交付方式：人工服务,深圳市云坞网络技术有限公司,1,元/次
